block,floor,unit,unit_id,unit_type,parent_unit,verified,note
P1,4,408,P1-408,flat,,observed,
P1,4,409,P1-409,flat,,observed,
P1,4,410,P1-410,flat,,observed,
P1,4,411,P1-411,flat,,observed,
P1,5,501,P1-501,flat,,observed,
P1,5,502,P1-502,flat,,observed,
P1,5,503,P1-503,flat,,observed,
P1,5,504,P1-504,flat,,observed,
P1,5,505,P1-505,flat,,observed,
P1,5,506,P1-506,flat,,observed,
P1,5,507,P1-507,flat,,observed,
P1,5,508,P1-508,flat,,observed,
P1,5,509,P1-509,flat,,observed,
P1,5,510,P1-510,flat,,observed,
P1,5,511,P1-511,flat,,observed,
P1,6,601,P1-601,flat,,observed,
P1,6,602,P1-602,flat,,observed,
P1,6,603,P1-603,flat,,observed,
P1,6,604,P1-604,flat,,observed,
P1,6,605,P1-605,flat,,observed,
P1,6,606,P1-606,flat,,observed,
P1,6,607,P1-607,flat,,observed,in directory but ABSENT from Add Home picker
P1,6,608,P1-608,flat,,observed,
P1,6,609,P1-609,flat,,observed,
P1,6,610-611,P1-610-611,merged_flat,"610,611",observed,"two numbers, ONE door"
P1,7,701,P1-701,flat,,observed,
P1,7,702,P1-702,flat,,observed,
P1,7,703,P1-703,flat,,observed,
P1,7,704,P1-704,flat,,observed,
P1,7,705,P1-705,flat,,observed,
P1,7,706,P1-706,flat,,observed,
P1,7,707,P1-707,flat,,observed,in directory but ABSENT from Add Home picker
P1,7,708,P1-708,flat,,observed,
P1,7,709,P1-709,flat,,observed,
P1,7,710-711,P1-710-711,merged_flat,"710,711",observed,"two numbers, ONE door"
P1,8,801,P1-801,flat,,observed,
P1,8,802,P1-802,flat,,observed,
P1,8,803,P1-803,flat,,observed,
P1,8,804,P1-804,flat,,observed,
P1,8,805,P1-805,flat,,observed,
P1,8,806,P1-806,flat,,observed,
P1,8,807,P1-807,flat,,observed,in directory but ABSENT from Add Home picker
P1,8,808,P1-808,flat,,observed,
P1,8,809,P1-809,flat,,observed,
P1,8,810-811,P1-810-811,merged_flat,"810,811",observed,"two numbers, ONE door"
P1,9,901,P1-901,flat,,observed,
P1,9,902,P1-902,flat,,observed,
P1,9,903,P1-903,flat,,observed,
P1,9,904,P1-904,flat,,observed,
P1,9,905,P1-905,flat,,observed,
P1,9,906,P1-906,flat,,observed,
P1,9,907,P1-907,flat,,observed,in directory but ABSENT from Add Home picker
P1,9,908,P1-908,flat,,observed,
P1,9,909,P1-909,flat,,observed,
P1,9,910-911,P1-910-911,merged_flat,"910,911",observed,"two numbers, ONE door"
P1,?,1103-SR,P1-1103-SR,servant_room,1103,observed,tagged 11th - INCONSISTENT
P1,?,1306-S,P1-1306-S,servant_room,1306,observed,tagged Ground
P1,?,1403-SR,P1-1403-SR,servant_room,1403,observed,tagged Ground
P1,?,206S,P1-206S,servant_room,206,observed,tagged 2nd
P1,?,803-SR,P1-803-SR,servant_room,803,observed,tagged Ground
P1,10,1001,P1-1001,flat,,observed,
P1,10,1002,P1-1002,flat,,observed,
P1,10,1003,P1-1003,flat,,observed,
P1,10,1004,P1-1004,flat,,observed,
P1,10,1005,P1-1005,flat,,observed,
P1,10,1006,P1-1006,flat,,observed,
P1,10,1007,P1-1007,flat,,observed,
P1,10,1008,P1-1008,flat,,observed,
P1,10,1009,P1-1009,flat,,observed,
P1,10,1010-1011,P1-1010-1011,merged_flat,"1010,1011",observed,"two numbers, ONE door"
P1,11,1101,P1-1101,flat,,observed,
P1,11,1102,P1-1102,flat,,observed,
P1,11,1103,P1-1103,flat,,observed,
P1,11,1104,P1-1104,flat,,observed,
P1,11,1105,P1-1105,flat,,observed,
P1,11,1106,P1-1106,flat,,observed,
P1,11,1107,P1-1107,flat,,observed,in directory but ABSENT from Add Home picker
P1,11,1108,P1-1108,flat,,observed,
P1,11,1109,P1-1109,flat,,observed,
P1,11,1110-1111,P1-1110-1111,merged_flat,"1110,1111",observed,"two numbers, ONE door"
P1,12,1201,P1-1201,flat,,observed,
P1,12,1202,P1-1202,flat,,observed,
P1,12,1203,P1-1203,flat,,observed,
P1,12,1204,P1-1204,flat,,observed,
P1,12,1205,P1-1205,flat,,observed,
P1,12,1206,P1-1206,flat,,observed,
P1,12,1207,P1-1207,flat,,observed,in directory but ABSENT from Add Home picker
P1,12,1208,P1-1208,flat,,observed,
P1,12,1209,P1-1209,flat,,observed,
P1,12,1210-1211,P1-1210-1211,merged_flat,"1210,1211",observed,"two numbers, ONE door"
P1,13,1301,P1-1301,flat,,observed,
P1,13,1302,P1-1302,flat,,observed,
P1,13,1303,P1-1303,flat,,observed,
P1,13,1304,P1-1304,flat,,observed,
P1,13,1305,P1-1305,flat,,observed,
P1,13,1306,P1-1306,flat,,observed,
P1,13,1307,P1-1307,flat,,observed,in directory but ABSENT from Add Home picker
P1,13,1308,P1-1308,flat,,observed,
P1,13,1309,P1-1309,flat,,observed,
P1,13,1310-1311,P1-1310-1311,merged_flat,"1310,1311",observed,"two numbers, ONE door"
P1,14,1401,P1-1401,flat,,observed,
P1,14,1402,P1-1402,flat,,observed,
P1,14,1403,P1-1403,flat,,observed,
P1,14,1404,P1-1404,flat,,observed,
P1,14,1405,P1-1405,flat,,observed,
P1,14,1406,P1-1406,flat,,observed,
P1,14,1407,P1-1407,flat,,observed,in directory but ABSENT from Add Home picker
P1,14,1408,P1-1408,flat,,observed,
P1,14,1409,P1-1409,flat,,observed,
P1,14,1410-1411,P1-1410-1411,merged_flat,"1410,1411",observed,"two numbers, ONE door"
P2,0,005,P2-005,flat,,observed,ground floor is partial - 001-004/008-010 not listed
P2,0,006,P2-006,flat,,observed,ground floor is partial - 001-004/008-010 not listed
P2,0,007,P2-007,flat,,observed,ground floor is partial - 001-004/008-010 not listed
P2,0,011,P2-011,flat,,observed,ground floor is partial - 001-004/008-010 not listed
P2,0,012,P2-012,flat,,observed,ground floor is partial - 001-004/008-010 not listed
P2,0,013,P2-013,flat,,observed,ground floor is partial - 001-004/008-010 not listed
P2,0,014,P2-014,flat,,observed,ground floor is partial - 001-004/008-010 not listed
P2,0,015,P2-015,flat,,observed,ground floor is partial - 001-004/008-010 not listed
P2,0,016,P2-016,flat,,observed,ground floor is partial - 001-004/008-010 not listed
P2,1,101,P2-101,flat,,observed,
P2,1,102,P2-102,flat,,observed,
P2,1,103,P2-103,flat,,observed,
P2,1,104,P2-104,flat,,observed,
P2,1,105,P2-105,flat,,observed,
P2,1,106,P2-106,flat,,observed,
P2,1,107,P2-107,flat,,observed,
P2,1,108,P2-108,flat,,observed,
P2,1,109,P2-109,flat,,observed,
P2,1,110,P2-110,flat,,observed,
P2,1,111,P2-111,flat,,observed,
P2,1,112,P2-112,flat,,observed,
P2,1,113,P2-113,flat,,observed,
P2,1,114,P2-114,flat,,observed,
P2,1,115,P2-115,flat,,observed,
P2,1,116,P2-116,flat,,observed,
P2,2,201,P2-201,flat,,observed,
P2,2,202,P2-202,flat,,observed,
P2,2,203,P2-203,flat,,observed,
P2,2,204,P2-204,flat,,observed,
P2,2,205,P2-205,flat,,observed,
P2,2,206,P2-206,flat,,observed,
P2,2,207,P2-207,flat,,observed,
P2,2,208,P2-208,flat,,observed,
P2,2,209,P2-209,flat,,observed,
P2,2,210,P2-210,flat,,observed,
P2,2,211,P2-211,flat,,observed,
P2,2,212,P2-212,flat,,observed,
P2,2,213,P2-213,flat,,observed,
P2,2,214,P2-214,flat,,observed,
P2,2,214-SR,P2-214-SR,servant_room,214,observed,listed inline in the numeric sequence
P2,2,215,P2-215,flat,,observed,
P2,2,216,P2-216,flat,,observed,
P2,3,301,P2-301,flat,,observed,
P2,3,302,P2-302,flat,,observed,
P2,3,303,P2-303,flat,,observed,
P2,3,304,P2-304,flat,,observed,
P2,3,305,P2-305,flat,,observed,
P2,3,306,P2-306,flat,,observed,
P2,3,307,P2-307,flat,,observed,
P2,3,308,P2-308,flat,,observed,
P2,3,309,P2-309,flat,,observed,
P2,3,310,P2-310,flat,,observed,
P2,3,311,P2-311,flat,,observed,
P2,3,312,P2-312,flat,,observed,
P2,3,313,P2-313,flat,,observed,
P2,3,314,P2-314,flat,,observed,
P2,3,315,P2-315,flat,,observed,
P2,3,316,P2-316,flat,,observed,
P2,4,401,P2-401,flat,,observed,
P2,4,402,P2-402,flat,,observed,
P2,4,403,P2-403,flat,,observed,
P2,4,404,P2-404,flat,,observed,
P2,4,405,P2-405,flat,,observed,
P2,4,406,P2-406,flat,,observed,
P2,4,407,P2-407,flat,,observed,
P2,4,408,P2-408,flat,,observed,
P2,4,409,P2-409,flat,,observed,
P2,4,410,P2-410,flat,,observed,
P2,4,411,P2-411,flat,,observed,
P2,4,412,P2-412,flat,,observed,
P2,4,413,P2-413,flat,,observed,
P2,4,414,P2-414,flat,,observed,
P2,4,415,P2-415,flat,,observed,
P2,4,416,P2-416,flat,,observed,
P2,5,501,P2-501,flat,,observed,
